,D.GDP,D.ENERGY,D.CPI,D.OpenTrade,D.GovExp,D.Invest
D.GDP,1.0,-0.07,-0.109,0.035,-0.2,0.421
D.ENERGY,-0.07,1.0,0.147,-0.007,0.068,-0.086
D.CPI,-0.109,0.147,1.0,-0.011,0.075,-0.07
D.OpenTrade,0.035,-0.007,-0.011,1.0,0.177,-0.162
D.GovExp,-0.2,0.068,0.075,0.177,1.0,-0.285
D.Invest,0.421,-0.086,-0.07,-0.162,-0.285,1.0
