,D.GDP,D.ENERGY,D.CPI,D.OpenTrade,D.GovExp,D.Invest
D.GDP,1.0,0.151,0.371,0.406,-0.603,0.444
D.ENERGY,0.151,1.0,0.244,0.095,-0.18,0.151
D.CPI,0.371,0.244,1.0,0.11,0.134,-0.123
D.OpenTrade,0.406,0.095,0.11,1.0,-0.578,0.418
D.GovExp,-0.603,-0.18,0.134,-0.578,1.0,-0.722
D.Invest,0.444,0.151,-0.123,0.418,-0.722,1.0
