,D.GDP,D.ENERGY,D.CPI,D.OpenTrade,D.GovExp,D.Invest
D.GDP,1.0,-0.084,-0.026,0.148,-0.319,0.511
D.ENERGY,-0.084,1.0,0.338,0.165,0.115,-0.041
D.CPI,-0.026,0.338,1.0,0.042,0.193,-0.108
D.OpenTrade,0.148,0.165,0.042,1.0,0.104,-0.067
D.GovExp,-0.319,0.115,0.193,0.104,1.0,-0.368
D.Invest,0.511,-0.041,-0.108,-0.067,-0.368,1.0
