country,variable,coef,se
AUS,const,-1.1735534485342214,2.3906620613600715
AUS,l_dlcpi2,-0.04039233018991695,0.07570970171497408
AUS,dopen,0.21144838084137518,0.1691175237264842
AUS,dexpgdp,-0.09619982403796712,0.2045079645992146
AUS,diy,0.854467934557988,0.17824362648013067
AUS,l_lrgdpmad,-0.5787015159899056,0.22299221888052
AUS,l_lcpi,0.0806908375416242,0.15995048029240788
AUS,l_open,0.3530563343092581,0.24092775047586276
AUS,l_iy,0.6205220406045555,0.4473166488040119
AUS,mod,0.02276671510844608,0.010392457273342492
AUS,dlenprmod,-0.06070508049708678,0.06218978737887212
AUS,lrgdpmad_csmean,0.7064660007426937,0.24810570730724069
AUS,lcpi_csmean,-0.41246114882414986,0.3732367369456736
AUS,lenpr_csmean,0.009222270355166984,0.11827561267055656
AUS,open_csmean,-0.05946300620973943,0.07720714148141156
AUS,expgdp_csmean,0.18054629790094623,0.45657659680865376
AUS,iy_csmean,-0.7657737577383159,0.6849950374429928
AUS,lrgdpmad_csmean_lag,0.0502375226606091,0.3032607527804605
AUS,lcpi_csmean_lag,0.1396975937359457,0.34143955887180016
AUS,lenpr_csmean_lag,-0.005281546946321214,0.06683573576214742
AUS,open_csmean_lag,0.014486119665036767,0.06322639012975825
AUS,expgdp_csmean_lag,0.669233107173568,0.7025422395639919
AUS,iy_csmean_lag,0.19989315295606502,0.4713059927888658
AUS,dlenpr,0.058317780478773784,0.07542571549665646
BEL,const,-1.0730088674390572,0.8215153864549868
BEL,l_dlcpi2,-0.17792443076837117,0.1289525324695692
BEL,dopen,0.007399226536449532,0.03157774875673739
BEL,dexpgdp,-0.197407978262504,0.0857196631376214
BEL,diy,0.5886001494786797,0.16823415490986623
BEL,l_lrgdpmad,-0.851021921891288,0.18724464395295642
BEL,l_lcpi,-0.12201057980018959,0.05843208971263734
BEL,l_open,-0.04356991476714711,0.04261740859129143
BEL,l_iy,0.5847489317256986,0.272828314153614
BEL,mod,0.004293201169680572,0.007332857420368562
BEL,dlenprmod,0.042636631263178515,0.03845498626527282
BEL,lrgdpmad_csmean,1.0378188485046849,0.16020040563168061
BEL,lcpi_csmean,0.6535093919674182,0.20109183353163804
BEL,lenpr_csmean,0.0010418488012646776,0.057011968511731854
BEL,open_csmean,-0.1321511384878704,0.04466269312917282
BEL,expgdp_csmean,-0.06713002301239612,0.34717663387075937
BEL,iy_csmean,-1.5956602604555883,0.44842538650481095
BEL,lrgdpmad_csmean_lag,-0.059353255194309895,0.2129155648049121
BEL,lcpi_csmean_lag,-0.6347646907715898,0.2008777233460926
BEL,lenpr_csmean_lag,0.10558547393992512,0.0567684451678061
BEL,open_csmean_lag,0.0034204034836875508,0.04322459585380332
BEL,expgdp_csmean_lag,0.25464683709014935,0.26250994573432523
BEL,iy_csmean_lag,0.612122085946794,0.3427984274723201
BEL,dlenpr,-0.09136491751046094,0.02522655534937126
CAN,const,4.786783562594792,1.0611924480891735
CAN,l_dlcpi2,-0.2334386988207484,0.058266242692167375
CAN,dopen,0.2771836969470769,0.08144810839273157
CAN,dexpgdp,-0.4434186682983636,0.12972727720127072
CAN,diy,0.965710646437401,0.21842225421449626
CAN,l_lrgdpmad,0.048491511214365346,0.06771490616875082
CAN,l_lcpi,0.23710122150805546,0.1328832889731288
CAN,l_open,0.17049733596479655,0.07347866654766232
CAN,l_iy,1.3506127052760348,0.1923652478681203
CAN,mod,0.039596975285491,0.007243535644083912
CAN,dlenprmod,-0.029267956934859285,0.0561300700725734
CAN,lrgdpmad_csmean,0.2222667178066331,0.17506069961048562
CAN,lcpi_csmean,-0.8442850679066396,0.21856918987563362
CAN,lenpr_csmean,0.2547422190573343,0.08528064716467942
CAN,open_csmean,-0.0524543616165829,0.0746112228949726
CAN,expgdp_csmean,-0.898656544595724,0.3771887908251347
CAN,iy_csmean,-1.7098974691143667,0.4267901021368507
CAN,lrgdpmad_csmean_lag,-0.7794740896497387,0.23029235417484384
CAN,lcpi_csmean_lag,0.7196165102741361,0.24168392090557345
CAN,lenpr_csmean_lag,-0.12889835278724604,0.06969223598473555
CAN,open_csmean_lag,-0.004181906259191237,0.05115672047159752
CAN,expgdp_csmean_lag,-1.7139319475863886,0.372448481793569
CAN,iy_csmean_lag,-0.5887709893813735,0.4500734695024538
CAN,dlenpr,0.027040312725659987,0.030904810606212498
CHE,const,-0.25362295973172877,0.6664951047920827
CHE,l_dlcpi2,0.0445575538541334,0.21301204933732398
CHE,dopen,0.36811725037779297,0.08734136782828583
CHE,dexpgdp,-0.09306091342020295,0.18215115373734203
CHE,diy,0.02093934748774018,0.21614078731393815
CHE,l_lrgdpmad,-0.014474229043003106,0.08455720007180695
CHE,l_lcpi,-0.22099639932605442,0.14279519239018887
CHE,l_open,0.12972813932680083,0.09317990038477145
CHE,l_iy,-0.2178397131221459,0.22153393386260029
CHE,mod,0.010866774477165109,0.012408746569984565
CHE,dlenprmod,0.053847687680956824,0.0474076942680845
CHE,lrgdpmad_csmean,0.2806933799735134,0.20714113105956652
CHE,lcpi_csmean,-0.09699338001928481,0.28450626726999023
CHE,lenpr_csmean,-0.05045035828402433,0.09937240109297657
CHE,open_csmean,0.17016877144169484,0.055078961586196774
CHE,expgdp_csmean,0.7066030222727022,0.48167335751179247
CHE,iy_csmean,0.779892987114863,0.6483720117079078
CHE,lrgdpmad_csmean_lag,-0.17178456002602616,0.170513060257614
CHE,lcpi_csmean_lag,0.16013203042575697,0.2887472651288604
CHE,lenpr_csmean_lag,-0.0032313975066813327,0.07687274193919509
CHE,open_csmean_lag,-0.132698176621858,0.04336567466916326
CHE,expgdp_csmean_lag,-0.04008434274874162,0.4171420890075326
CHE,iy_csmean_lag,-0.3823913329392781,0.5085724226781492
CHE,dlenpr,-0.06235494283224341,0.051298727719335906
DEU,const,-1.9904416196950478,1.2650058948682683
DEU,l_dlcpi2,-0.6131780005491692,0.2830077385651552
DEU,dopen,0.06213665881637098,0.08815126094444665
DEU,dexpgdp,0.6913529110836407,0.28220565624655164
DEU,diy,1.1453013547795763,0.19769193658520717
DEU,l_lrgdpmad,-0.4637023611628024,0.08030639268878001
DEU,l_lcpi,-0.1945228688800853,0.14600007649054908
DEU,l_open,0.051059084406915645,0.10478859408239827
DEU,l_iy,0.8799260447869983,0.2542052566666631
DEU,mod,0.02067861466717602,0.007590646968648832
DEU,dlenprmod,0.16472873621933104,0.12133824749310468
DEU,lrgdpmad_csmean,0.5744537774787659,0.34920069740751836
DEU,lcpi_csmean,1.0720508013309882,0.3026476739121361
DEU,lenpr_csmean,-0.19951956464268505,0.07440603213937354
DEU,open_csmean,-0.0023035628380512208,0.06886557086949309
DEU,expgdp_csmean,-0.08600642760939081,0.2561650596468188
DEU,iy_csmean,-0.24460778338288947,0.5742662627444024
DEU,lrgdpmad_csmean_lag,0.18624371407622675,0.511755884417257
