model,variable,coef,se,t,p
between,Intercept,7.367149430197046,1.5585992442371168,4.7267759543942445,0.0004912448796268176
between,lcpi,0.8352204929003486,0.15407162295576393,5.420988478456879,0.00015474109303359462
between,lenpr,-0.25460085340916955,0.2954822181578972,-0.8616452624337555,0.4057718054154851
between,open,-0.23340230182844357,0.13136776990567015,-1.7767090207593557,0.10095131814191949
between,expgdp,0.527617705811679,0.5217586198101073,1.0112294953626335,0.3318626660253581
between,iy,-0.5857030085032255,1.434780492601186,-0.4082178504123477,0.6903036065972104
within,Intercept,7.894913329329997,0.4134363890366767,19.095835631995193,0.0
within,lcpi,0.3804465894315625,0.03780587053580833,10.063161726992043,0.0
within,lenpr,0.024843501044482897,0.08004879931269464,0.3103544495081897,0.7563568180114804
within,open,0.33760250440516903,0.06443609559361241,5.239338313332501,1.969357217301848e-07
within,expgdp,-0.7063389052122699,0.3064628461764012,-2.3048108898841804,0.021383524480964144
within,iy,0.18197270941175334,0.7450297819401994,0.24424890631601565,0.807088712586618
re_mundlak,Intercept,7.366026385909653,2.0309580271124963,3.6268727800260168,0.00030134638529699664
re_mundlak,lcpi,0.3804465894315623,0.008306282511075031,45.8022694176728,0.0
re_mundlak,lenpr,0.024843501044482928,0.025210601891649666,0.985438632177666,0.3246467864264031
re_mundlak,open,0.3376025044051691,0.03288056988623851,10.267538110599041,0.0
re_mundlak,expgdp,-0.7063389052122689,0.122317854460577,-5.774618172688124,1.0285752027883177e-08
re_mundlak,iy,0.18197270941175092,0.15363908180732083,1.1844167985849028,0.23652926220259096
re_mundlak,lcpi_mean,0.45493791520200094,0.20093854948542447,2.2640648913164414,0.02378341853457977
re_mundlak,lenpr_mean,-0.2793647195801001,0.38577819009066167,-0.7241589254033429,0.46913738084592005
re_mundlak,open_mean,-0.5710715221692612,0.17427621819576503,-3.2768184212476696,0.0010859148755382186
re_mundlak,expgdp_mean,1.234176176797533,0.6907551601220036,1.786705692621317,0.074287607565523
re_mundlak,iy_mean,-0.7672943782658251,1.875323284329246,-0.4091531229188925,0.6825148198462037
twfe,Intercept,9.133827528832063,0.7654687304246418,11.932332655528718,0.0
twfe,lcpi,0.13607373525045122,0.04350987239654234,3.1274220712553684,0.001818130020781572
twfe,lenpr,-0.07024801331251716,0.131582383758702,-0.5338709582989404,0.593557984391738
twfe,open,0.15899758365735372,0.089787973269391,1.7708115894354026,0.07691849506373494
twfe,expgdp,0.136060017024902,0.3478716137285986,0.39112135527980413,0.695796835068192
twfe,iy,0.5231171488499312,0.4495262947196942,1.163707562815931,0.24484005204676018
fd,lcpi,0.5129529432274016,0.006053054737666643,84.74282250174015,0.0
fd,lenpr,-0.09833348377596844,0.021417512530656657,-4.591265378517491,4.973524443174782e-06
fd,open,0.0899564064272665,0.01856893837572467,4.844456080745427,1.473210041513795e-06
fd,expgdp,-0.4917006103619636,0.08097613760554283,-6.0721667506194645,1.7975958499505396e-09
fd,iy,0.6795021832321125,0.10918257635539921,6.223540476094566,7.171723215293468e-10
