,coef,se,t,p
const,0.002671172387805473,0.002370789245892842,1.1267017481343038,0.2598686030889843
l_dlenpr,-0.013438166466700168,0.01568398964927212,-0.8568079147721077,0.3915510508040523
dlcpi2,-0.08491373492609669,0.04622790286539173,-1.8368502498015522,0.06623200539279828
dopen,0.07361721046625029,0.033116187948566043,2.2229977248766635,0.02621595338624849
dexpgdp,-0.06337736099761855,0.1495860738780156,-0.4236849016393164,0.6717956277470529
diy,0.14516498079718212,0.10307938539728925,1.4082833365535339,0.15904718786304173
l_ecterm,-0.013315186686480861,0.004448367273750713,-2.9932750303807416,0.00276000905703766
l_dlrgdpmad,1.0156049102559086,0.12968571184439773,7.831278371471433,4.884981308350689e-15
dlenpr,-0.008641587347971935,0.05467493455834732,-0.15805391296353383,0.8744143161678537
