variable,N,NT,NT_over_N,var_total,var_between,var_within,var_twfe,var_fd,pct_within
lcpi,18,1012,56.22222222222222,0.838120589189309,0.04403253979767908,0.7971381403457342,0.09720635203863721,0.0017822898206666072,95.11019662657183
lenpr,18,1012,56.22222222222222,0.06976723028426418,0.016064665172727734,0.05449130622944385,0.014088468748191545,0.0050175365101731125,78.1044424544602
lrgdpmad,18,1012,56.22222222222222,0.1860727512696083,0.043235948026990496,0.1450876689031745,0.011275287971863421,0.0006378881492834025,77.97362478558247
iy,18,1012,56.22222222222222,0.001489036294307232,0.0005666330295944054,0.0009476388420367574,0.0007109510921447414,0.00019827734661936032,63.64108421397764
open,18,1012,56.22222222222222,0.08647569736853698,0.0640777522788165,0.025628439720129896,0.015269055389963383,0.006733717804853717,29.636580565413812
expgdp,18,1012,56.22222222222222,0.008060373061907957,0.006198108209561397,0.00214834051877215,0.0011638413049396504,0.00035688422439134716,26.653115212804064
