h,tau,se,lower,upper
1,-0.008641587347971935,0.05467493455834732,-0.11580445908233268,0.09852128438638881
2,-0.0222146050097058,0.057711497314770835,-0.13532913974665664,0.09089992972724503
3,-0.0362091297756697,0.060806251891808945,-0.15538938348361525,0.08297112393227583
4,-0.05042203784468056,0.06394897258134417,-0.17576202410411512,0.07491794841475402
