Specification,Coef,t-stat,N,F,RMSE
(1) pre-1983/1982,-0.002,-0.20,18,0.04,0.096
(2) post-1983/1982,-0.015,-1.06,18,1.12,0.083
(3) pre-1983/1982 (excl. outliers),-0.008,-0.87,16,0.76,0.072
(4) post-1983/1982 (excl. outliers),-0.010,-0.89,16,0.79,0.054
