Country,T,corr,std_y,std_x,slope
AUS,44,-0.11549607963848431,0.01578383519270532,0.052328802763443115,-0.03483685829118437
BEL,45,-0.1129215082858701,0.017582492106037875,0.0763237172387629,-0.02601342806492456
CAN,45,0.14465392223640605,0.021187609730696264,0.07668817150475422,0.039965366108245956
CHE,45,0.3213416744147661,0.02000002206736815,0.07177605076114808,0.0895401810395949
DEU,45,0.150157870327771,0.020340740894787705,0.05656458539724588,0.05399707806925842
DNK,45,-0.2617019898460771,0.020716856302951326,0.08624020654855004,-0.06286676174396015
ESP,45,-0.09199298157830413,0.026901681889191634,0.09759429247278528,-0.02535769114928423
FIN,45,0.10631537986665428,0.0321121814476055,0.06727210078788894,0.050749400256038024
FRA,45,-0.019719252158229894,0.0149707928865395,0.05987243565795499,-0.004930697017653116
GBR,45,-0.3721167697808585,0.02109147085967985,0.05530355662532062,-0.14191655085412277
IRL,45,-0.28163010374930186,0.04356098182553321,0.08090191013906048,-0.15164146074992588
ITA,45,-0.2236694773561899,0.022523084978357154,0.07354511027535322,-0.06849845797629407
JPN,45,-0.13045836589550036,0.02282028928527246,0.0811617798378974,-0.0366810296098155
NLD,45,-0.09159927832169887,0.01691653239587407,0.07441887074145896,-0.020821898313278894
NOR,45,-0.027668187381283096,0.016902610430828247,0.07270003172569678,-0.006432797641650601
PRT,45,-0.23902950360601857,0.03175911957914115,0.07890766813768568,-0.09620568909374116
SWE,45,0.07721690795102526,0.02159312243554511,0.06109433249904041,0.02729147008041857
USA,45,-0.053153492115365845,0.020655093160568128,0.09382270552752188,-0.011701755191128555
