Country,T,corr,std_y,std_x,slope
AUS,44,0.1636630020719824,0.01560624335486806,0.0449041880267484,0.05688032120750464
BEL,45,-0.2027524323565392,0.010342396068933968,0.04243041967704777,-0.049420815898867695
CAN,45,0.007551906714427154,0.014272219305414446,0.05929476285024846,0.0018177401109528946
CHE,45,0.029340069133613117,0.016132108094410697,0.04373800888462995,0.010821644122150673
DEU,45,0.059084410211175824,0.015412438638332877,0.033166852708928704,0.027456173030752713
DNK,45,-0.39782416471929627,0.01380660745589919,0.04559261271103286,-0.12047131656092085
ESP,45,0.1339938952227098,0.019590569158776206,0.060478993957205615,0.04340377541782105
FIN,45,-0.0653929109510355,0.02288440308171572,0.03828801732371642,-0.03908475386014015
FRA,45,-0.18856010771455162,0.008169981927697582,0.0267126847666564,-0.057670454533852646
GBR,45,0.30121363495653314,0.013690050547949533,0.04530080911671724,0.09102773148404594
IRL,45,-0.19452735989173495,0.036554742882712654,0.04269588088118201,-0.1665476265563916
ITA,45,-0.3311117366795023,0.012478031144376409,0.04598728039274759,-0.08984272449403131
JPN,45,-0.22319787986955167,0.018030585466558453,0.045862913925449555,-0.0877482066552567
NLD,45,-0.0730055115072794,0.010387970157298842,0.05121670692731884,-0.014807259590745737
NOR,45,-0.1628317416318917,0.01664211688619023,0.05623390383040596,-0.04818916511989751
PRT,45,-0.06955540829695299,0.023312823130204528,0.06132960201539571,-0.026439645425531514
SWE,45,-0.05071140004130404,0.015534825184696613,0.03140982832401569,-0.02508109010931891
USA,45,-0.17653814774701113,0.013080284934432322,0.047730303347151316,-0.04837952228237064
