Variable,Coef,Std.Err.,t-stat,p-value
Intercept,0.018185981996142502,0.0012439614756291509,14.619409324508773,0.0
dlenpr,-0.07561193305525872,0.03273199600205913,-2.310031232146737,0.02114496717697567
interaction,0.007611431095328397,0.0048211388277928915,1.5787620658110972,0.11479349164342811
dlcpi,0.04852414831128912,0.02829571973692508,1.7148935868193005,0.08675940239148172
dopen,0.056277814791008025,0.022388436556301267,2.5137000812666632,0.012146293581825285
dexpgdp,-0.19797127699903025,0.1270219155258528,-1.5585600026535351,0.11950359793346665
diy,0.7719440046264587,0.12216476146231145,6.318876207723846,4.4125814113726847e-10
